Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2020-12-29,275.0841979980469,278.79135561501096,274.58726144336214,275.2531697721038,16383000
2020-12-30,270.2042541503906,276.3761971361416,270.0452308268975,276.24701912073874,11803800
2020-12-31,271.486328125,275.39224138756447,268.1568478056016,270.3334319080737,12900400
2021-01-04,267.292236328125,273.3151049414783,263.575160606713,273.0964516443011,15106100
2021-01-05,269.3097839355469,270.73101513017787,266.56668458767825,266.64621141751144,9871600
2021-01-06,261.6967468261719,266.1095462093693,258.41697743650474,260.3947753757414,24354100
2021-01-07,267.0934143066406,269.9458248995876,263.1576858077317,264.27081868979917,15789800
2021-01-08,265.93060302734375,267.30215260547834,261.567486045614,266.6660593336376,18528300
2021-01-11,255.26634216308594,261.85572512169824,254.33209910023183,258.8840545053035,30412300
2021-01-12,249.5515899658203,258.1287195660793,248.76643689922236,255.05765536457494,26383500
2021-01-13,250.0981903076172,252.39403441197493,247.67313786594653,250.00874538115337,19528900
2021-01-14,244.13499450683594,253.467462570291,243.1113063984232,251.8474445190765,29739400
2021-01-15,249.8199462890625,252.30462907155027,245.64568224754308,246.38113864536734,24942900
2021-01-19,259.500244140625,260.5935104973684,251.17158361915673,255.32596544418516,28028500
2021-01-20,265.8411865234375,268.66378247519873,261.9849540597102,267.2822843136615,25199900
2021-01-21,271.1981201171875,271.9236583247579,265.8510785349372,267.61025315301697,20838700
2021-01-22,272.81817626953125,276.76385383900316,270.33349342554646,270.34344186271477,21954000
2021-01-25,276.3066711425781,278.38386228871553,269.84649597140043,276.4358794988977,19087000
2021-01-26,280.3219299316406,283.6414931816691,276.1079171791787,276.4359123273413,19373600
2021-01-27,270.4726257324219,281.7133274743246,266.47723666948883,280.7989509250698,35346200
2021-01-28,263.3763732910156,285.0328767798525,263.07822349122813,275.48174045199073,37758800
2021-01-29,256.7472229003906,264.92680937897524,253.28856394656756,263.67451957536355,30389500
2021-02-01,260.4046630859375,262.55143231204124,253.34815902737898,257.9298987989953,22914300
2021-02-02,265.4435729980469,267.2027475235563,261.6569195012926,262.3824576706842,17320800
2021-02-03,265.0162048339844,267.5505989475678,262.2234243891426,263.99251695203805,14223400
2021-02-04,264.857177734375,266.516958812303,262.3824439348702,265.37401105067516,16060000
2021-02-05,266.4573669433594,267.5208183709261,264.0422627458969,265.16531379856116,12454400
2021-02-08,264.9466552734375,268.2065575528612,263.3763492535397,267.1033730637312,13755200
2021-02-09,267.7991027832031,271.71496498758677,264.12176040264853,264.8075352267552,14613400
2021-02-10,270.2042541503906,272.1224218071429,266.0796871673924,270.7807174893779,14687200
2021-02-11,268.7333984375,271.90382615142704,266.8450150274502,270.22420828926306,12828600
2021-02-12,268.8426513671875,269.51847774007956,266.69588200865024,268.86251790853225,9097600
2021-02-16,272.2914123535156,274.90530343957204,268.3954164856225,269.14082130496485,15417200
2021-02-17,271.89385986328125,272.2914030205178,267.9282857354953,269.57811865209567,12763200
